City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,bonthe,7.5264,-12.505,24.62,89,99,1.46,SL,1690442081
255,columbus,39.9612,-82.9988,27.11,81,100,6.17,US,1690442082
256,east end,34.5507,-92.341,27.7,92,8,2.23,US,1690442082
257,mulayjah,27.271,48.4242,44.44,7,14,3.18,SA,1690442082
258,manali,13.1667,80.2667,33.05,62,93,8.43,IN,1690442083
259,klyuchi,52.2667,79.1667,19.81,69,100,5.26,RU,1690442083
260,new norfolk,-42.7826,147.0587,13.29,65,100,2.06,AU,1690442083
261,severo-yeniseyskiy,60.3725,93.0408,18.59,83,100,1.79,RU,1690442083
262,meadow lake,34.8014,-106.5436,26.84,45,100,4.29,US,1690442084
263,vernon,50.2581,-119.2691,17.2,62,0,0.51,CA,1690442084
264,wusterhausen,52.8912,12.4602,16.03,66,100,3.72,DE,1690442084
265,nkhotakota,-12.9274,34.2961,22.01,65,12,5.84,MW,1690442085
266,jamestown,42.097,-79.2353,20.81,98,100,4.63,US,1690442085
267,madalena,41.2162,-8.3345,16.97,94,64,1.13,PT,1690442085
268,treasure island,27.7692,-82.769,27.23,80,0,0.45,US,1690442085
269,taro,-8.3862,115.28,24.0,56,16,2.84,ID,1690442086
270,berdigestyakh,62.0989,126.6992,25.01,42,78,2.09,RU,1690442086
271,west island,-12.1568,96.8225,25.99,73,75,10.8,CC,1690442086
272,yingkou,40.6648,122.2283,29.74,66,15,5.78,CN,1690442086
273,selfoss,63.9331,-20.9971,10.58,72,85,4.24,IS,1690442087
274,kurumkan,54.3,110.3,23.76,64,99,2.86,RU,1690442087
275,ad darb,17.7229,42.2526,38.74,28,5,4.61,SA,1690442087
276,vila franca do campo,37.7167,-25.4333,21.23,88,19,2.75,PT,1690442087
277,veselyy,47.0934,40.7422,30.26,29,0,7.97,RU,1690442088
278,gutierrez zamora,20.45,-97.0833,24.93,90,100,1.6,MX,1690442088
279,roma,43.2128,-75.4557,23.74,83,40,2.06,US,1690442088
280,bereznik,62.8551,42.7072,14.7,98,100,3.65,RU,1690442088
281,areka,7.0667,37.7,17.26,89,97,0.88,ET,1690442089
282,soc trang,9.6033,105.98,31.4,62,100,8.81,VN,1690441882
283,masina,-4.3836,15.3914,22.19,64,23,1.97,CD,1690442089
284,shambu,9.5667,37.1,12.38,95,100,1.23,ET,1690442089
285,daru,-9.0763,143.2092,25.52,83,59,8.26,PG,1690442050
286,utrik,11.2278,169.8474,28.5,80,100,8.24,MH,1690442090
287,gornyye klyuchi,45.25,133.5,30.85,53,98,2.57,RU,1690442090
288,patong,7.8961,98.2966,31.08,82,86,7.66,TH,1690442091
289,aleg,17.0481,-13.9209,28.27,61,9,4.55,MR,1690442091
290,brisas de zicatela,15.8369,-97.0419,26.39,80,100,2.64,MX,1690442091
291,sitka,57.0531,-135.33,15.94,82,100,1.54,US,1690442092
292,tambacounda,13.7539,-13.7586,27.03,94,20,2.06,SN,1690442093
293,itoman,26.1247,127.6694,28.0,89,75,7.72,JP,1690441883
294,pontianak,-0.0333,109.3333,32.99,46,20,6.17,ID,1690442039
295,grantsville,40.5999,-112.4644,26.52,32,0,5.66,US,1690442094
296,kapuskasing,49.4169,-82.4331,12.05,100,20,1.54,CA,1690442095
297,lazaro cardenas,17.9583,-102.2,26.47,82,100,1.6,MX,1690442095
298,crane,31.3974,-102.3501,27.93,30,31,4.33,US,1690442095
299,llandudno,53.325,-3.8315,17.22,52,100,1.34,GB,1690442095
300,warrnambool,-38.3833,142.4833,15.4,63,100,6.55,AU,1690442065
301,manta,-0.95,-80.7333,25.56,73,100,5.81,EC,1690441953
302,drohobych,49.3499,23.5056,14.39,92,100,4.66,UA,1690442096
303,kalianget,-7.05,113.9333,28.27,60,76,5.49,ID,1690442097
304,atherton,53.5237,-2.4935,17.9,98,100,0.45,GB,1690442097
305,nenjiang,49.1833,125.2167,21.29,94,100,3.64,CN,1690442097
306,flying fish cove,-10.4217,105.6791,25.82,78,75,6.69,CX,1690442097
